ef_group,n_samples,mean_target_ef,mean_prediction,mean_error,mean_abs_error,median_abs_error,max_abs_error
Low EF (<40),9,33.455555555555556,51.175434,17.71987813313802,17.71987813313802,15.975376892089841,31.17580795288086
Mid EF (40-55),32,48.265625,51.175095,2.909468412399292,4.153163719177246,3.124602127075196,10.67532730102539
High EF (>=55),39,62.23589743589743,51.174988,-11.060912186060197,11.060912186060197,9.224035644531249,26.524558258056643
