loss,mae,rmse,val_loss,val_mae,val_rmse
2107.582275390625,44.055397033691406,45.90841293334961,1763.564697265625,40.54355239868164,41.994815826416016
1295.286865234375,33.85189437866211,35.99009323120117,941.2296752929688,28.81338119506836,30.679466247558594
634.3087158203125,22.296398162841797,25.18548583984375,412.88848876953125,17.921167373657227,20.319658279418945
300.32464599609375,14.44672966003418,17.329877853393555,180.73043823242188,11.079631805419922,13.443602561950684
226.9501953125,12.23103141784668,15.064866065979004,127.6987075805664,9.082486152648926,11.300385475158691
213.737548828125,11.659823417663574,14.619765281677246,127.39070129394531,8.952630996704102,11.286748886108398
194.8827667236328,11.330288887023926,13.960041999816895,112.6962890625,8.24134635925293,10.615850448608398
223.58657836914062,12.10951042175293,14.952812194824219,104.15950775146484,7.904993534088135,10.205856323242188
213.1268768310547,11.430706977844238,14.598865509033203,109.29411315917969,8.06076431274414,10.45438289642334
205.8621063232422,11.52548885345459,14.347895622253418,126.08314514160156,8.94288158416748,11.22867488861084
