model,rmse,mae,r2
train_mean_baseline,11.892563851044562,9.383936882019045,-0.0002075433731079
ridge_handcrafted_baseline,11.085054842306086,8.748703002929688,0.1310099363327026
improved_dual_view_model,11.937667446060573,8.847854614257812,-0.007808685302734375
